,Question Name,No.of Views,No.of answers,No.of Votes,Question id,Tags By User,Date,Urls,Tags In Question,Tags In Answer,Votes on Answer,Tag Count
0,My computer boots to a black screen what options do I have to fix it?,1300000.0,32,451,162075, boot,7/10/2012,https://askubuntu.com/questions/162075,{'screen'},"{'grub', 'keyboard', 'find', 'ie', 'installation', 'login-screen', 'configure', 'usb', 'users', 'backlight', 'luks', 'documentation', '12.10', 'lvm', 'system', 'search', 'ubuntu', '12.04', 'kernel', 'uefi', 'text', 'encryption', 'password', 'reboot', 'go', 'keys', 'livecd', 'driver', 'hardware', 'startup', 'internet', 'time', 'boot-repair', 'make', 'screen', 'booting', 'nvidia', 'settings', 'dvd', 'tty', 'can', 'manual', 'sata', 'bios', 'graphics', 'drive', 'restart', 'proprietary', 'installer', 'cd', 'file', 'hybrid', 'laptop', 'mode', 'ati', 'community', 'boot', 'menu', 'ahci', 'firmware', 'installing', 'install', 'grub-efi', 'flash', 'drivers', 'more', 'csm'}",337,"{'cd': 2, 'dvd': 2, 'usb': 2, 'flash': 1, 'drive': 1, 'installation': 16, 'screen': 9, 'boot': 12, 'live-cd': 2, 'ubuntu': 16, 'startup': 1, 'graphics': 5, 'can': 4, 'keys': 3, 'golang': 1, 'kernel': 2, 'files': 2, 'uefi': 19, 'mode': 4, 'csm': 2, 'bios': 4, 'grub2': 4, 'system': 2, 'firmware': 3, 'settings': 4, 'make': 1, 'sata': 1, 'ahci': 1, 'documentation': 4, 'community': 4, 'more': 1, 'find': 2, 'grub-efi': 1, 'ie': 1, 'configure': 1, 'boot-repair': 1, 'time': 2, 'nvidia': 3, 'laptop': 1, 'hybrid': 1, 'proprietary': 1, 'drivers': 4, 'reboot': 1, 'menu': 1, '12.04': 1, '12.10': 1, 'amd-graphics': 1, 'restart': 1, 'luks': 1, 'encryption': 2, 'lvm': 1, 'password': 2, 'tty': 1, 'backlight': 1, 'login-screen': 1, 'text': 1, 'hardware': 2, 'users': 1, 'keyboard': 1, 'search': 1, 'internet': 1}"
1,How do I install Ubuntu alongside a pre-installed Windows with UEFI?,1700000.0,12,544,221835, dual-boot system-installation uefi windows-8 windows-10,12/11/2012,https://askubuntu.com/questions/221835,"{'ubuntu', 'install', 'windows'}","{'motherboard', 'etc', 'find', 'installation', 'top', 'users', 'system', 'free', 'terminal', 'power', 'who', 'echo', '12.04.2', '32', 'alternative', 'can', 'microsoft', 'version', 'drive', 'restart', 'dell', 'wireless', 'versions', 'mode', 'boot', 'space', 'testing', 'virtual', 'installing', 'default', 'disk', 'install', 'grub-efi', 'more', 'compatibility', 'csm', 'grub', 'removing', 'dual-boot', '12.10', 'elementary', 'efi', 'privileges', 'process', 'intel', 'launchpad', 'livecd', 'setup', 'partitioning', 'button', 'snapshot', 'support', 'installer', 'gpt', 'swap', '64-bit', 'copy', 'bootloader', '32-bit', 'windows', 'delete', 'add-apt-repository', 'partition', 'update', '16.04', 'wubi', 'rights', 'mount', 'lenovo', 'upgrade', 'apt-get', 'ubuntu', 'uefi', 'shutdown', 'package', 'reboot', 'go', 'keys', '17.04', 'precise', 'time', 'make', 'bios', '15.10', 'root', 'layout', 'file', 'via', 'livedvd', 'hp', 'sudo', 'command', 'acer', 'ram', 'fstab', 'toshiba', 'configure', 'usb', 'memory', 'security', 'partitions', 'ubuntu-bug', 'hardware', 'boot-repair', 'booting', 'settings', 'ms-dos', 'panel', '64', 'console', 'binary', 'sony', '15.04', 'scheme', 'ext4', 'menu', 'remove', 'firmware', 'window'}",553,"{'ubuntu': 82, 'compatibility': 2, 'versions': 8, 'hardware': 1, 'can': 21, '17.04': 1, 'uefi': 40, 'lenovo': 4, 'dell': 1, 'hp': 3, 'sony': 1, 'acer': 2, 'toshiba': 1, 'installation': 48, 'windows': 77, 'wireless': 1, 'upgrade': 1, '15.04': 3, 'microsoft': 3, 'system': 22, 'live-cd': 4, 'wubi': 4, 'bios': 7, 'alternative': 2, 'boot': 70, '12.04': 6, '12.10': 2, '64-bit': 6, 'support': 4, 'find': 5, 'files': 6, 'package-management': 1, 'command-line': 9, 'bug-reporting': 1, 'firmware': 3, 'keys': 1, 'launchpad': 2, 'testing': 2, '15.10': 2, '16.04': 2, 'users': 2, 'who': 1, 'via': 2, 'bootloader': 3, 'more': 5, '32-bit': 2, 'time': 3, 'livedvd': 2, 'delete': 1, 'free': 4, 'disk-usage': 5, 'drive': 4, 'partitions': 11, 'ms-dos': 3, 'scheme': 4, 'shutdown': 4, 'mode': 10, 'default': 2, 'disk': 2, 'gpt': 3, 'partitioning': 20, 'uninstall': 3, 'removing': 1, 'motherboard': 3, 'menu': 10, 'golang': 3, 'power-management': 3, 'restart': 2, 'window': 1, 'reboot': 2, 'dual-boot': 1, 'make': 4, 'etc': 1, 'fstab': 1, 'mount': 1, 'grub-efi': 1, 'echo': 2, 'top': 1, 'intel': 1, 'process': 1, 'usb': 1, 'grub2': 13, 'csm': 1, 'security': 1, 'elementary': 1, 'permissions': 2, 'configure': 2, 'binary': 2, 'layout': 1, 'root': 1, 'ext4': 1, 'swap': 2, 'virtual': 1, 'ram': 2, 'sudo': 3, 'add-apt-repository': 1, 'boot-repair': 3, 'apt': 2, 'updates': 1, 'snapshot': 2, 'copy': 1, 'panel': 1, 'button': 1, 'settings': 1}"
2,How do I install Ubuntu?,168000.0,2,158,6328, system-installation,10/12/2010,https://askubuntu.com/questions/6328,{'install'},"{'motherboard', 'keyboard', 'find', 'installation', 'users', 'system', 'cp', 'fonts', 'terminal', 'backup', 'download', 'password', 'echo', '14.04', 'dvd', 'can', 'display', 'microsoft', 'version', 'drive', 'adobe', 'icon', 'versions', 'optical', 'commands', 'boot', 'space', 'ubuntu-restricted-extras', 'username', 'devices', 'installing', 'disk', 'default', 'install', 'prompt', 'more', 'connection', 'iso', 'avi', 'virtualbox', 'codecs', 'login', 'efi', 'partitioning', 'button', 'manual', 'mp3', 'installer', 'cd', 'packages', 'configuration', 'copy', 'bootloader', 'language', 'windows', 'partition', 'update', 'flash', 'files', 'apt-get', 'video', 'ubuntu', 'uefi', 'dist-upgrade', 'reboot', 'go', 'keys', 'location', 'time', 'make', 'screen', 'bios', 'layout', 'proprietary', 'file', 'splash', 'hp', 'source', 'sudo', 'toshiba', 'usb', 'burning', 'startup', 'internet', 'mv', 'booting', 'detect', 'sony', 'restricted', 'safely', 'menu', 'remove', 'folders'}",178,"{'downloads': 2, 'versions': 3, 'ubuntu': 11, 'files': 12, 'can': 4, 'connection': 2, 'burning': 2, 'dvd': 5, '14.04': 1, 'cd': 2, 'windows': 3, 'installation': 14, 'source': 1, 'more': 2, 'disk': 8, 'iso': 2, 'make': 2, 'optical': 2, 'drive': 3, 'reboot': 2, 'boot': 18, 'menu': 5, 'bios': 4, 'keys': 2, 'motherboard': 1, 'plymouth': 1, 'screen': 4, 'documentation': 1, 'startup': 1, 'find': 2, 'language': 2, 'icons': 1, 'usb': 4, 'safely': 1, 'adobe': 2, 'flash': 2, 'proprietary': 2, 'video': 1, 'codecs': 2, 'command-line': 4, 'time': 3, 'partitioning': 5, 'disk-usage': 1, 'golang': 1, 'internet': 2, 'keyboard': 2, 'layout': 2, 'button': 1, 'detect': 1, 'username': 2, 'display': 2, 'password': 3, 'login': 1, 'users': 1, 'directory': 1, 'prompt': 1, 'uefi': 3, 'system': 5, 'sudo': 4, 'echo': 2, 'mv': 1, 'cp': 2, 'copy': 1, 'default': 1, 'bootloader': 1, 'location': 1, 'backup': 1, 'virtualbox': 1, 'hp': 1, 'toshiba': 1, 'sony': 1, 'devices': 1, 'uninstall': 1, 'configuration': 1, 'apt': 3, 'updates': 2, 'upgrade': 1, 'ubuntu-restricted-extras': 1, 'package-management': 1, 'restricted': 1, 'mp3': 1, 'avi': 1, 'microsoft': 1, 'fonts': 1}"
3,Installing Broadcom Wireless Drivers,1400000.0,42,317,55868, networking drivers wireless software-installation broadcom,9/7/2011,https://askubuntu.com/questions/55868,"{'wireless', 'installing', 'drivers', 'broadcom'}","{'find', 'installation', 'top', 'users', 'system', 'terminal', 'debugging', 'lts', 'download', 'password', 'lspci', 'modem', 'dpkg', 'power', 'who', 'rev', 'format', '14.04', '32', 'alternative', 'sharing', 'can', 'version', 'icon', 'wireless', 'mode', 'dependency', 'router', 'commands', 'boot', 'reinstall', 'ethernet', 'testing', 'devices', 'installing', 'install', 'more', 'connection', 'ipv6', '12.10', 'connections', '13.10', 'launchpad', 'architecture', 'setup', 'traffic', 'deb', 'nvidia', 'button', 'manual', 'support', 'gui', 'packages', 'aptitude', '64-bit', 'configuration', 'modules', 'timeout', '32-bit', 'update', 'network', 'repositories', '16.04', 'build', 'files', 'lenovo', 'signal', 'apt-get', 'ubuntu', '12.04', 'kernel', 'irc', 'background', 'package', 'reboot', 'adapter', 'go', 'driver', 'xenial', 'x', 'time', 'make', 'drivers', 'bios', 'dmesg', 'broadcom', 'via', 'source', 'sudo', 'command', 'folder', 'search', 'crashes', 'configure', 'usb', 'purge', 'apt', 'modprobe', 'hardware', 'b43', 'internet', 'mac', 'detect', 'upgrading', 'synaptic', 'log', 'panel', '64', 'laptop', 'dkms', 'offline', 'dependencies', 'remove', 'wired', 'firmware', 'window', 'broadcasting', 'rfkill'}",363,"{'ubuntu': 10, 'users': 3, 'broadcom': 13, 'who': 2, 'wireless': 33, 'devices': 6, 'irc': 1, 'more': 4, 'testing': 1, 'drivers': 24, 'connection': 11, 'mode': 4, 'installation': 27, 'timeout': 1, 'password': 1, 'traffic': 1, 'reboot': 3, 'crash': 1, 'system': 8, 'dmesg': 1, 'log': 2, 'can': 10, 'power-management': 1, 'button': 1, 'configure': 2, 'xorg': 1, 'networking': 9, 'internet': 4, 'upgrade': 1, 'versions': 7, '12.04': 2, '12.10': 1, 'launchpad': 1, 'find': 3, 'command-line': 10, 'window': 1, 'background': 1, 'lspci': 1, 'adapter': 2, 'rev': 17, 'search': 3, 'golang': 6, '13.10': 1, '14.04': 1, 'package-management': 22, 'files': 4, 'configuration': 3, 'make': 3, 'apt': 8, 'aptitude': 1, 'synaptic': 1, 'dpkg': 1, 'documentation': 1, 'uninstall': 3, 'purge': 2, 'sudo': 13, 'compiling': 1, 'updates': 2, 'gui': 1, 'via': 2, 'wired': 1, 'ethernet': 1, 'usb': 1, 'modem': 1, 'time': 3, 'format': 1, '16.04': 3, 'lts': 1, 'firmware': 1, 'hardware': 1, 'lenovo': 2, 'alternative': 1, 'debugging': 1, 'b43': 5, 'rfkill': 2, 'modprobe': 3, 'offline': 2, 'architecture': 2, '32-bit': 2, '64-bit': 2, 'downloads': 2, 'dependencies': 4, 'directory': 4, 'boot': 6, 'bios': 2, 'reinstall': 1, 'kernel': 2, 'repository': 1, 'ipv6': 1, 'icons': 1, 'top': 1, 'panel': 1, 'laptop': 1, 'detect': 1, 'dkms': 1, 'nvidia': 1, 'router': 8, 'source': 1, 'support': 2, 'broadcasting': 1, 'mac': 2, 'signal': 3, 'sharing': 1, 'deb': 1}"
4,How to remove Ubuntu and put Windows back on?,1400000.0,16,185,133533, windows disk,5/28/2012,https://askubuntu.com/questions/133533,"{'remove', 'ubuntu', 'windows'}","{'grub', 'files', 'iso', 'installation', 'usb', 'media', 'apt-get', 'unallocated', 'system', 'free', 'search', 'ubuntu', 'terminal', 'uefi', 'partitions', 'logo', 'download', 'reboot', 'go', 'recovery', 'time', 'boot-repair', 'make', 'screen', 'settings', 'button', 'dvd', 'can', 'drive', 'dash', 'dell', 'cd', 'laptop', 'space', 'boot', 'copy', 'bootloader', 'windows', 'remove', 'add-apt-repository', 'sudo', 'disk', 'partition', 'install', 'command', 'update', 'prompt', 'inspiron'}",158,"{'system': 2, 'ubuntu': 10, 'can': 5, 'installation': 8, 'windows': 15, 'uninstall': 5, 'boot': 7, 'grub2': 1, 'bootloader': 3, 'partitions': 4, 'data-recovery': 6, 'dvd': 4, 'dell': 6, 'laptop': 1, 'inspiron': 2, 'uefi': 3, 'settings': 3, 'media': 4, 'downloads': 2, 'iso': 2, 'files': 2, 'usb': 1, 'drive': 1, 'copy': 1, 'screen': 2, 'command-line': 2, 'prompt': 2, 'reboot': 1, 'cd': 2, 'time': 1, 'sudo': 3, 'add-apt-repository': 1, 'boot-repair': 4, 'apt': 2, 'updates': 1, 'search': 1, 'unity-dash': 1, 'button': 1, 'logo': 1, 'golang': 2, 'disk': 1, 'partitioning': 3, 'free': 1, 'disk-usage': 2, 'make': 1, 'unallocated': 1}"
5,How do I resolve unmet dependencies after adding a PPA?,873000.0,14,521,140246, apt software-installation package-management ppa dependencies,5/21/2012,https://askubuntu.com/questions/140246,{'dependencies'},"{'files', 'find', 'removing', 'upgrade', 'installation', 'purge', 'apt', 'apt-get', 'system', 'output', 'mkdir', 'ubuntu', 'terminal', 'update', 'dist-upgrade', 'updates', 'archive', 'package', 'duplicate', 'dpkg', 'debian', 'make', 'date', 'can', 'repository', 'wget', 'version', 'panel', 'ppa', 'sources.list', 'versions', 'cd', 'packages', 'aptitude', 'dependency', 'commands', 'configuration', 'dependencies', 'source', 'delete', 'remove', 'add-apt-repository', 'unity', 'installing', 'su', 'https', 'sudo', 'install', 'command', 'downloads', 'more', 'repositories', 'database'}",554,"{'apt': 10, 'package-management': 26, 'system': 2, 'debian': 1, 'ubuntu': 12, 'installation': 10, 'removing': 2, 'dependencies': 8, 'configuration': 1, 'files': 2, 'can': 10, 'database': 1, 'command-line': 14, 'uninstall': 11, 'find': 1, 'sudo': 12, 'upgrade': 5, 'delete': 2, 'repository': 12, 'source': 2, 'archive': 1, 'purge': 3, 'ppa': 20, 'more': 1, 'updates': 6, 'versions': 3, 'mkdir': 3, 'cd': 3, 'wget': 8, 'aptitude': 1, 'dpkg': 3, 'add-apt-repository': 2, 'date': 1, 'unity': 1, 'panel': 1, 'downloads': 1, 'software-sources': 1, 'make': 2, 'duplicate': 2, 'output': 1, 'su': 1, 'https': 6}"
