,Question Name,No.of Views,No.of answers,No.of Votes,Question id,Tags By User,Date,Urls,Tags In Question,Tags In Answer,Votes on Answer,Tag Count
6,How can I repair grub? (How to get Ubuntu back after installing Windows?),647000.0,11,331,88384, dual-boot grub2 windows boot-repair,12/17/2011,https://askubuntu.com/questions/88384,"{'installing', 'ubuntu'}","{'etc', 'grub', 'find', 'mount', 'fstab', 'lvm', 'usb', 'users', 'system', 'efi', 'ubuntu', 'partitions', 'reboot', 'go', 'grep', 'make', 'redirect', 'root', 'cd', 'mode', 'chroot', 'commands', 'configuration', 'boot', 'reinstall', 'proc', 'windows', 'session', 'dev', 'sudo', 'partition', 'install', 'update', 'uuid'}",341,"{'installation': 4, 'windows': 4, 'system': 3, 'grub2': 7, 'boot': 8, 'command-line': 1, 'redirect': 1, 'cd': 1, 'usb': 1, 'mode': 3, 'partitioning': 9, 'make': 1, 'lvm': 1, 'sudo': 8, 'mount': 6, 'development': 6, 'proc': 1, 'ubuntu': 2, 'uefi': 7, 'chroot': 1, 'session': 1, 'root': 1, 'updates': 2, 'golang': 1, 'reinstall': 2, 'find': 1, 'uuid': 3, 'grep': 2, 'etc': 1, 'fstab': 1, 'reboot': 1, 'configuration': 1, 'partitions': 1, 'users': 1}"
7,How to install software or upgrade from an old unsupported release?,473000.0,9,375,91815, release-management,12/31/2011,https://askubuntu.com/questions/91815,"{'upgrade', 'install'}","{'etc', 'lubuntu', 'memory', 'apt', 'apt-get', 'system', 'security', 'processor', 'dist-upgrade', 'updates', 'archive', 'sed', 'do-release-upgrade', 'support', '11.10', 'mirrors', 'sources.list', '11.04', '13.04', 'reinstall', 'xubuntu', 'server', 'release', 'sudo', 'install', 'update', 'repositories'}",527,"{'repository': 2, '11.04': 1, '11.10': 1, '13.04': 1, 'archive': 1, 'server': 1, 'support': 1, 'updates': 5, 'security': 1, 'ram': 1, 'cpu': 1, 'lubuntu': 1, 'xubuntu': 1, 'release-management': 2, 'sudo': 6, 'sed': 1, 'etc': 1, 'apt': 5, 'software-sources': 1, 'upgrade': 1, 'system': 1, 'reinstall': 1, 'mirrors': 1, 'installation': 1, 'do-release-upgrade': 1}"
8,How do I report a bug?,57000.0,7,450,5121, bug-reporting,10/3/2010,https://askubuntu.com/questions/5121,set(),"{'more', 'ubuntu', 'window'}",310,"{'ubuntu': 1, 'window': 1, 'more': 1}"
9,How do I find out which version and derivative of Ubuntu is right for my hardware in terms of minimal system requirements?,87000.0,8,134,206407, hardware versions compatibility system-requirements distro-recommendation,10/25/2012,https://askubuntu.com/questions/206407,"{'find', 'version', 'hardware', 'system', 'ubuntu', 'minimal'}","{'ram', 'iso', 'lubuntu', 'installation', 'memory', 'usb', 'media', 'video', 'system', 'free', 'compile', 'youtube', 'services', 'ubuntu', 'security', 'storage', 'minimal', 'cloud', 'processor', 'download', 'intel', 'updates', 'adapter', 'derivatives', 'architecture', 'libreoffice', 'hardware', 'cpu', 'amd64', 'internet', 'who', 'libraries', 'date', '14.04', 'dvd', 'can', 'less', 'display', '19.04', 'hosting', 'graphics', 'version', 'drive', 'support', 'google', 'cd', 'versions', 'maintenance', 'reset', '18.04', 'monitor', 'repositories', '64-bit', 'community', 'space', 'boot', '18.10', 'xubuntu', '32-bit', 'server', '17.10', 'devices', 'release', 'facebook', 'unity', 'disk', 'install', 'flash', 'arm', 'drivers', 'more', '16.04'}",93,"{'installation': 12, 'versions': 11, 'ubuntu': 18, 'updates': 7, 'derivatives': 2, 'internet': 4, 'media': 3, 'who': 1, 'can': 1, 'hardware': 3, 'boot': 2, 'dvd': 3, 'usb': 3, 'system': 12, 'ubuntu-minimal': 5, 'community': 1, 'less': 2, '32-bit': 3, 'ram': 17, '64-bit': 9, 'architecture': 1, '16.04': 6, 'unity': 2, 'more': 3, 'graphics': 8, 'adapter': 2, 'cpu': 14, 'display': 4, 'drive': 2, '17.10': 2, '18.04': 10, '18.10': 1, '19.04': 1, 'iso': 1, 'intel': 3, 'cd': 4, '14.04': 3, 'server': 7, 'arm': 2, 'monitor': 2, 'security': 4, 'maintenance': 3, 'xubuntu': 4, 'free': 4, 'disk-usage': 4, 'disk': 6, 'flash': 3, 'video': 2, 'services': 3, 'youtube': 3, 'google': 3, 'facebook': 3, 'libreoffice': 4, 'lubuntu': 1, 'release-management': 2, 'date': 1, 'devices': 2, 'cloud': 1, 'storage': 2, 'reset': 1, 'support': 1, 'compiling': 1, 'libraries': 1, 'drivers': 1, 'repository': 2, 'downloads': 1, 'hosting': 1}"
10,Unity doesn't load no Launcher no Dash appears,551000.0,34,545,17381, unity,12/14/2010,https://askubuntu.com/questions/17381,"{'launcher', 'dash', 'unity'}","{'find', 'apt-get', 'ubuntu', 'terminal', 'checkbox', 'ccsm', 'screenshot', 'settings', 'tty', 'can', 'log', 'display', 'restart', 'versions', 'compiz', '18.04', 'plugin', 'opengl', 'server', 'unity', 'sudo', 'install', 'search'}",474,"{'versions': 2, 'ubuntu': 6, 'compiz': 2, 'unity': 7, '18.04': 1, 'plugins': 6, 'can': 4, 'command-line': 4, 'log': 1, 'sudo': 1, 'apt': 1, 'installation': 1, 'ccsm': 1, 'display': 1, 'tty': 1, 'server': 1, 'settings': 1, 'find': 1, 'opengl': 1, 'search': 2, 'screenshot': 1, 'checkbox': 1, 'restart': 1}"
11,How do I reset a lost administrative password?,2200000.0,15,625,24006, password-recovery,1/30/2011,https://askubuntu.com/questions/24006,{'reset'},"{'mount', 'top', 'security', 'password', 'reboot', 'recovery', 'who', 'filesystem', 'vulnerability', 'screen', 'read-only', 'can', 'passwd', 'bios', 'log', 'permissions', 'root', 'reset', 'mode', 'unix', 'boot', 'menu', 'username', 'default', 'command', 'prompt'}",769,"{'default': 1, 'password': 11, 'reset': 1, 'boot': 2, 'data-recovery': 2, 'mode': 2, 'bios': 1, 'screen': 1, 'menu': 1, 'can': 4, 'top': 1, 'root': 4, 'prompt': 2, 'read-only': 1, 'filesystem': 1, 'permissions': 1, 'mount': 1, 'command-line': 1, 'username': 1, 'passwd': 2, 'unix': 2, 'reboot': 1, 'log': 1, 'security': 2, 'vulnerability': 1, 'who': 1}"
12,How can I fix a 404 Error when using a PPA or updating my package lists?,501000.0,8,252,65911, apt ppa repository,10/14/2011,https://askubuntu.com/questions/65911,"{'ppa', 'package'}","{'etc', 'find', 'users', 'apt', 'ubuntu', 'terminal', 'software-sources', 'text', 'jupiter', 'package', 'deb', 'button', 'repository', 'gedit', 'hosting', 'gksu', 'url', 'ppa', 'sources.list', 'versions', 'file', '15.04', 'server', 'oneiric', 'source', 'remove', 'file-extension', 'update', 'client', 'update-manager'}",302,"{'uninstall': 1, 'software-sources': 2, 'ubuntu': 4, 'versions': 1, '15.04': 1, 'client': 1, 'server': 3, 'find': 1, 'hosting': 1, 'users': 1, 'update-manager': 1, 'ppa': 5, 'source': 1, 'files': 1, 'file-format': 1, 'deb': 1, 'jupiter': 2, '11.10': 2, 'text': 1, 'package-management': 1, 'command-line': 1, 'button': 2, 'updates': 2, 'url': 1, 'repository': 2, 'gksu': 1, 'gedit': 1, 'etc': 1, 'apt': 1}"
13,How to resize partitions?,320000.0,4,108,126153, partitioning,4/27/2012,https://askubuntu.com/questions/126153,{'resize'},"{'can', 'reboot', 'go', 'usb', 'livecd', 'drive', 'apt-get', 'power', 'cd', 'boot', 'default', 'resize', 'mode', 'partitions', 'gparted'}",107,"{'can': 2, 'golang': 1, 'power-management': 1, 'boot': 1, 'live-cd': 1, 'drive': 1, 'mode': 1, 'gparted': 1, 'default': 1, 'apt': 1, 'resize': 2, 'partitions': 1, 'reboot': 1, 'usb': 1, 'cd': 1}"
14,Ubuntu gets stuck in a login loop,851000.0,45,442,223501, login lightdm login-screen,11/29/2012,https://askubuntu.com/questions/223501,"{'login', 'ubuntu'}","{'restart', 'root', 'tmp', 'login', 'screen'}",401,"{'root': 4, 'tmp': 1, 'login': 1, 'screen': 1, 'restart': 1}"
15,My wireless/WiFi connection does not work. What information is needed to diagnose the issue?,244000.0,3,95,425155, wireless,2/23/2014,https://askubuntu.com/questions/425155,{'connection'},"{'etc', 'ie', 'system', 'frequency', 'lts', 'encryption', 'lspci', 'power', 'rev', 'echo', '14.04', 'netgear', 'wget', 'routing', 'iwlwifi', 'version', 'pcie', 'wireless', 'ethernet', 'interface', '14.04.2', 'gnu', 'default', 'connection', 'ipv6', 'intel', 'archive', 'gpl', 'bsd', 'grep', 'support', 'configuration', 'modules', 'release', 'tlp', 'ipv4', 'https', 'network', 'files', 'signal', 'video', 'ath9k', 'ubuntu', 'resolv.conf', 'kernel', 'ip', 'license', 'adapter', 'keys', 'driver', 'location', 'time', 'wpa2', 'authentication', 'script', 'drivers', 'dmesg', 'root', 'file', 'broadcom', 'hotplug', 'splash', 'via', 'udev', 'info', 'integrated', 'wifi', 'acer', 'blacklist', 'alias', 'usb', 'wlan', 'gateway', 'chmod', 'wpa', 'modprobe', 'lan', 'hardware', 'internet', 'mac', 'settings', 'detect', 'dns', 'trusty', '64', 'compiz', 'xargs', 'gnome', 'atheros', 'pm-utils', 'rtc', 'remove', 'wired', 'lsusb', 'filename', 'pci', 'rfkill', 'ifconfig'}",76,"{'wireless': 23, 'ubuntu': 3, 'wget': 1, 'https': 1, 'chmod': 1, 'files': 2, 'location': 1, 'archive': 1, 'mac': 1, 'wpa': 6, 'keys': 1, 'internet': 2, 'system': 2, 'via': 1, 'wired': 3, 'connection': 1, 'usb': 2, 'scripts': 2, 'info': 4, 'release-management': 2, '14.04': 3, 'lts': 1, 'kernel': 10, 'gnu': 1, 'plymouth': 1, 'gnome': 1, 'compiz': 1, 'lspci': 1, 'ethernet': 2, 'broadcom': 1, 'pcie': 1, 'rev': 2, 'acer': 1, 'drivers': 15, 'networking': 2, 'atheros': 9, 'adapter': 1, 'ath9k': 10, 'lsusb': 1, 'intel': 2, 'integrated': 2, 'root': 11, 'rfkill': 1, 'lan': 6, 'video': 1, 'ifconfig': 1, '64-bit': 3, 'power-management': 1, 'signal': 7, 'ip': 1, 'routing': 1, 'gateway': 2, 'resolv.conf': 1, 'default': 10, 'encryption': 10, 'wpa2': 15, 'netgear': 1, 'ipv4': 1, 'settings': 2, 'dns': 1, 'detect': 1, 'etc': 24, 'time': 1, 'frequency': 2, 'interface': 2, 'support': 6, 'ie': 5, 'versions': 5, 'authentication': 5, 'filename': 6, 'license': 6, 'bsd': 4, 'gpl': 6, 'hardware': 1, 'configuration': 1, 'rtc': 1, 'modprobe': 2, 'blacklist': 17, 'alias': 8, 'uninstall': 1, 'iwlwifi': 1, 'grep': 1, 'xargs': 1, 'pm-utils': 17, 'tlp': 16, 'echo': 8, 'udev': 2, 'pci': 2, 'dmesg': 1, 'hotplug': 1, 'ipv6': 2}"
16,How to use manual partitioning during installation?,1100000.0,6,217,343268, partitioning system-installation,9/9/2013,https://askubuntu.com/questions/343268,"{'manual', 'partitioning'}","{'files', 'installation', 'memory', 'usb', 'users', 'media', 'system', 'free', 'ubuntu', 'kernel', 'partitions', 'raid', 'filesystem', 'libraries', 'system-wide', 'can', 'bios', 'command-line', 'mbr', 'root', 'logs', 'installer', 'cd', 'music', 'swap', 'configuration', 'space', 'boot', 'scheme', 'ext4', 'windows', 'reiserfs', 'directory', 'disk', 'default', 'install', 'partition', 'folder', 'more', 'images'}",204,"{'boot': 5, 'ubuntu': 1, 'installation': 5, 'media': 1, 'can': 5, 'cd': 1, 'usb': 1, 'disk': 9, 'raid': 3, 'partitioning': 9, 'free': 1, 'disk-usage': 1, 'swap': 4, 'ram': 2, 'windows': 2, 'more': 4, 'root': 3, 'filesystem': 2, 'kernel': 1, 'files': 4, 'system': 4, 'command-line': 1, 'libraries': 1, 'configuration': 1, 'logs': 1, 'images': 1, 'music': 1, 'users': 1, 'directory': 2, 'ext4': 1, 'reiserfs': 1, 'partitions': 1, 'default': 1, 'bios': 1, 'mbr': 1, 'scheme': 1}"
17,What should I do when Ubuntu freezes?,575000.0,45,591,4408, bug-reporting,9/20/2010,https://askubuntu.com/questions/4408,{'ubuntu'},"{'can', 'kernel', 'screen', 'top', 'kill', 'signal', 'keys', 'gui', 'cleanup', 'login', 'dialog', 'window', 'button', 'terminal', 'mouse', 'cursor', 'process'}",415,"{'window': 4, 'can': 3, 'button': 2, 'top': 1, 'dialog': 1, 'kill': 2, 'mouse': 3, 'cursor': 1, 'command-line': 1, 'process': 3, 'kernel': 1, 'cleanup': 1, 'signal': 1, 'gui': 1, 'login': 1, 'screen': 1, 'keys': 1}"
18,Unable to mount Windows (NTFS) filesystem due to hibernation,832000.0,21,316,145902, windows mount ntfs hibernate,6/3/2012,https://askubuntu.com/questions/145902,"{'filesystem', 'mount', 'windows'}","{'shortcut', 'files', 'mount', 'system', 'crash', 'processes', 'icons', 'ubuntu', 'partitions', 'shutdown', 'hibernate', 'power', 'startup', 'dialog', 'filesystem', 'time', 'mountpoint', 'make', 'booting', 'settings', 'button', 'read-only', 'browser', 'versions', 'nautilus', 'file', 'mode', 'folder', 'boot', 'ntfs', 'resume', 'windows', 'input', 'menu', 'remove', 'session', 'default', 'disk', 'partition', 'command', 'prompt'}",381,"{'nautilus': 3, 'dialog': 2, 'command-line': 5, 'windows': 26, 'session': 2, 'partitions': 2, 'versions': 1, 'hibernate': 1, 'default': 4, 'disk': 1, 'process': 1, 'system': 2, 'files': 6, 'resume': 3, 'partitioning': 11, 'crash': 1, 'mount': 11, 'mode': 7, 'browser': 1, 'boot': 8, 'power-management': 2, 'ubuntu': 3, 'menu': 1, 'button': 1, 'filesystem': 1, 'directory': 4, 'read-only': 2, 'mountpoint': 1, 'ntfs': 1, 'shutdown': 4, 'uninstall': 1, 'startup': 2, 'make': 1, 'time': 1, 'icons': 1, 'settings': 1, 'prompt': 1, 'shortcuts': 1, 'input': 1}"
19,How do I recover my accidentally lost Windows partitions after installing Ubuntu?,134000.0,3,53,286181, ntfs data-recovery partitions,4/26/2013,https://askubuntu.com/questions/286181,"{'partitions', 'installing', 'windows'}","{'files', 'mount', 'installation', 'directories', 'testdisk', 'media', 'photorec', 'usb', 'apt', 'system', 'free', 'cp', 'umount', 'ubuntu', 'terminal', 'partitions', 'backup', 'recovery', 'livecd', 'time', 'make', 'paste', 'can', 'repository', 'drive', 'cache', 'cd', 'environment', 'nautilus', 'file', 'unmount', '13.04', 'boot', 'space', 'vista', 'copy', 'windows', 'menu', 'session', 'sudo', 'partition', 'install', 'window', 'update', 'folder', 'more'}",51,"{'drive': 16, 'windows': 3, 'partitions': 7, 'ubuntu': 5, 'partitioning': 2, 'windows-vista': 1, 'data-recovery': 2, 'cd': 1, 'make': 1, 'more': 3, 'disk-usage': 2, 'can': 6, 'installation': 4, 'testdisk': 3, 'session': 2, 'boot': 1, 'live-cd': 1, 'repository': 1, 'apt': 3, 'cache': 1, 'command-line': 3, 'sudo': 3, 'updates': 1, 'mount': 2, 'backup': 1, 'nautilus': 4, 'free': 1, 'files': 5, 'photorec': 1, 'directory': 3, 'time': 1, 'copy': 3, 'system': 2, 'usb': 4, 'environment': 1, 'paste': 1, 'window': 1, '13.04': 1, 'cp': 1, 'media': 2, 'unmount': 1, 'menu': 1, 'umount': 1}"
